,uid,タイトル字数,タイトル語数,タイトル名詞数,原稿字数,原稿語数,原稿異なり語数,原稿名詞数,原稿異なり名詞数,原稿文数,文平均字数,文平均語数,文平均名詞数
24,sj_e04a31535ce944b4,39,14,8,1495.0,699.0,303.0,383.0,228.0,109.0,12.724770642201834,6.412844036697248,3.5045871559633026
27,sj_1c41c347ebc85b5b,22,8,7,1101.0,576.0,263.0,238.0,162.0,54.0,19.40740740740741,10.666666666666666,4.407407407407407
30,sj_8eb9ec35d350e4a7,8,4,4,1338.0,672.0,313.0,294.0,204.0,85.0,14.75294117647059,7.905882352941177,3.447058823529412
31,sj_0f76726ef3f2e475,10,6,4,1281.0,629.0,287.0,277.0,190.0,78.0,15.435897435897436,8.064102564102564,3.5384615384615383
33,sj_e27a8f1402010286,13,5,3,1235.0,610.0,282.0,267.0,181.0,77.0,15.051948051948052,7.922077922077922,3.4545454545454546
34,sj_4f1b2112295f9279,12,6,4,1023.0,468.0,247.0,229.0,172.0,58.0,16.655172413793103,8.068965517241379,3.9482758620689653
37,sj_80f6895da5d0655f,25,10,6,1518.0,750.0,314.0,325.0,197.0,104.0,13.60576923076923,7.1826923076923075,3.1346153846153846
41,sj_63da6625891ec181,11,4,3,1449.0,737.0,272.0,396.0,184.0,81.0,16.901234567901234,9.074074074074074,4.888888888888889
45,sj_eeadd62006a6386b,30,13,8,4910.0,2476.0,762.0,1231.0,597.0,182.0,25.983516483516482,13.604395604395604,6.7967032967032965
46,sj_af75fd0d3a62af00,23,8,7,1959.0,931.0,398.0,431.0,277.0,94.0,19.851063829787233,9.914893617021276,4.585106382978723
48,sj_0df3ed4bc8743a1a,21,7,6,1803.0,897.0,396.0,394.0,266.0,79.0,21.835443037974684,11.354430379746836,5.012658227848101
50,sj_c529782c7dc4d4f6,22,7,6,1902.0,927.0,390.0,404.0,257.0,88.0,20.625,10.522727272727273,4.625
72,sj_66f8bc83b61e0c8f,33,16,10,1138.0,530.0,253.0,294.0,182.0,93.0,11.24731182795699,5.698924731182796,3.161290322580645
73,sj_d261283a76074546,17,8,5,1261.0,641.0,288.0,334.0,209.0,73.0,16.28767123287671,8.780821917808218,4.575342465753424
85,sj_8b645ce8bba482c8,23,8,6,3376.0,1742.0,577.0,669.0,364.0,165.0,19.466666666666665,10.557575757575757,4.048484848484849
88,sj_27dcfd8ac2372f29,11,4,3,1110.0,570.0,277.0,243.0,183.0,57.0,18.49122807017544,10.0,4.245614035087719
89,sj_bc3c0aeab3064885,10,6,4,991.0,513.0,263.0,221.0,161.0,50.0,18.84,10.24,4.38
90,sj_f1d1a638c0f4d097,5,1,1,1077.0,525.0,237.0,269.0,178.0,62.0,16.387096774193548,8.46774193548387,4.338709677419355
102,sj_c87c9e8cf6d8675c,38,9,9,2631.0,1400.0,495.0,671.0,348.0,106.0,23.830188679245282,13.20754716981132,6.330188679245283
116,sj_d261283a76074546,17,8,5,1315.0,668.0,306.0,350.0,224.0,78.0,15.871794871794872,8.564102564102564,4.487179487179487
120,sj_fe86931b411732c3,10,3,3,1562.0,761.0,339.0,370.0,246.0,100.0,14.63,7.58,3.69
125,sj_97ad43d6d7dca4db,26,10,7,1976.0,991.0,402.0,442.0,280.0,100.0,18.77,9.9,4.42
130,sj_9525ccdc0af62f51,17,7,5,913.0,414.0,200.0,220.0,146.0,46.0,18.869565217391305,9.0,4.782608695652174
133,sj_63da6625891ec181,11,4,3,1449.0,737.0,272.0,396.0,184.0,81.0,16.901234567901234,9.074074074074074,4.888888888888889
143,sj_cf66228f6d2acf73,15,5,4,1979.0,1012.0,392.0,500.0,288.0,98.0,19.20408163265306,10.326530612244898,5.112244897959184
