,uid,タイトル字数,タイトル語数,タイトル名詞数,原稿字数,原稿語数,原稿異なり語数,原稿名詞数,原稿異なり名詞数,原稿文数,文平均字数,文平均語数,文平均名詞数
24,sj_e04a31535ce944b4,39,14,8,1495.0,699.0,303.0,383.0,228.0,109.0,12.724770642201834,6.412844036697248,3.5045871559633026
37,sj_80f6895da5d0655f,25,10,6,1518.0,750.0,314.0,325.0,197.0,104.0,13.60576923076923,7.1826923076923075,3.1346153846153846
48,sj_0df3ed4bc8743a1a,21,7,6,1803.0,897.0,396.0,394.0,266.0,79.0,21.835443037974684,11.354430379746836,5.012658227848101
50,sj_c529782c7dc4d4f6,22,7,6,1902.0,927.0,390.0,404.0,257.0,88.0,20.625,10.522727272727273,4.625
102,sj_c87c9e8cf6d8675c,38,9,9,2631.0,1400.0,495.0,671.0,348.0,106.0,23.830188679245282,13.20754716981132,6.330188679245283
290,sj_b6988c299baa8ed9,14,5,3,3106.0,1570.0,538.0,641.0,353.0,109.0,27.504587155963304,14.403669724770642,5.8807339449541285
315,sj_f43640bc4752c44f,11,5,4,3565.0,1905.0,637.0,816.0,440.0,129.0,26.643410852713178,14.689922480620154,6.27906976744186
437,sj_64aa0c23bc81e98f,25,10,7,3963.0,2137.0,685.0,861.0,460.0,168.0,22.595238095238095,12.714285714285714,5.125
651,sj_fea7282fb1d7eaaf,20,7,6,4954.0,2472.0,802.0,1122.0,606.0,208.0,22.822115384615383,11.884615384615385,5.394230769230769
657,sj_c87c9e8cf6d8675c,38,9,9,2631.0,1400.0,495.0,671.0,348.0,106.0,23.830188679245282,13.20754716981132,6.330188679245283
659,sj_ed656c037235a4a9,20,9,5,3807.0,2085.0,663.0,836.0,440.0,165.0,22.078787878787878,12.624242424242425,5.066666666666666
667,sj_52cec57b7868b102,25,9,5,808.0,403.0,208.0,212.0,142.0,49.0,15.510204081632653,8.224489795918368,4.326530612244898
808,sj_edcdfb143fa06b84,40,15,9,2436.0,1208.0,442.0,627.0,339.0,144.0,15.92361111111111,8.38888888888889,4.340277777777778
24,sj_533fd0d395dfb31b,49,19,13,1687.0,795.0,380.0,414.0,277.0,121.0,12.950413223140496,6.570247933884297,3.4049586776859506
33,sj_55ebc435a167a6d9,23,6,6,2094.0,938.0,411.0,468.0,302.0,95.0,21.05263157894737,9.873684210526315,4.936842105263158
38,sj_235ab1a30453fd84,20,8,6,772.0,374.0,225.0,205.0,167.0,50.0,14.46,7.48,4.1
